code,building,drawing,sheet,beam_ids,physical_bar_id,bar_layer,bar_count,diameter_mm,length_cm,start_axis,end_axis,start_station_cm,end_station_cm,anchor_left_cm,anchor_right_cm,continuity_across_support,detail_reference,confidence,source,classification,beam_kind,note,resolution,zone_type,spacing_cm,count
LT2:400:01,LT2,2024_22-400-Model,400,,LT2-8A8B-F'-base,TOP_BASE,2,18,550,8A,8B,,,,,False,,EXACT,EXACT_DRAWING,BEAM_FOUNDATION,FOUNDATION_BEAM,F' 2Φ18 L≈550 (sup).,RESOLVED_METADATA,,,
LT2:400:02,LT2,2024_22-400-Model,400,,LT2-8A8B-F-base,BOTTOM_BASE,2,18,550,8A,8B,,,,,False,,EXACT,EXACT_DRAWING,BEAM_FOUNDATION,FOUNDATION_BEAM,F 2Φ18 L≈550 (inf).,RESOLVED_METADATA,,,
LT2:400:03,LT2,2024_22-400-Model,400,,V60/80-patron-ext-izq,TOP_BASE,2,22,600,,,,,,,False,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,patron observado; apoyo izq/extremo izq. beam_id no legible.,RESOLVED_METADATA,,,
LT2:400:04,LT2,2024_22-400-Model,400,,V60/80-patron-ext-izq-adi,TOP_ADDITIONAL,2,22,400,,,,,,,False,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,patron observado; adicional extremo izq. beam_id no legible.,RESOLVED_METADATA,,,
LT2:400:05,LT2,2024_22-400-Model,400,,V60/80-patron-apoyo,TOP_BASE,2,22,1000,,,,,,,False,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,patron observado; sobre apoyo. beam_id no legible.,RESOLVED_METADATA,,,
LT2:400:06,LT2,2024_22-400-Model,400,,V60/80-patron-apoyo-adi,TOP_ADDITIONAL,2,22,900,,,,,,,False,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,patron observado; adicional sobre apoyo. beam_id no legible.,RESOLVED_METADATA,,,
LT2:400:07,LT2,2024_22-400-Model,400,,V60/80-patron-ext-der,TOP_BASE,2,22,750,,,,,,,False,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,patron observado; extremo derecho. beam_id no legible.,RESOLVED_METADATA,,,
LT2:400:08,LT2,2024_22-400-Model,400,,V60/80-patron-ext-der-adi,TOP_ADDITIONAL,2,22,450,,,,,,,False,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,patron observado; adicional extremo der. beam_id no legible.,RESOLVED_METADATA,,,
LT2:400:09,LT2,2024_22-400-Model,400,0102;0102a,0102-F'-sup,TOP_BASE,3,22,900,,,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F' 3Φ22 L≈900 (sup).,RESOLVED_METADATA,,,
LT2:400:10,LT2,2024_22-400-Model,400,0102;0102a,0102-F-inf,BOTTOM_BASE,3,22,900,,,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F 3Φ22 L≈900 (inf).,RESOLVED_METADATA,,,
LT2:400:11,LT2,2024_22-400-Model,400,,LT2-C'D'-F'-base,TOP_BASE,2,22,400,C',D,,,,,False,,EXACT,EXACT_DRAWING,BEAM_FOUNDATION,FOUNDATION_BEAM,F' 2Φ22 L≈400 (sup).,RESOLVED_METADATA,,,
LT2:400:12,LT2,2024_22-400-Model,400,,LT2-C'D'-F-base,BOTTOM_BASE,2,22,450,C',D,,,,,False,,EXACT,EXACT_DRAWING,BEAM_FOUNDATION,FOUNDATION_BEAM,F 2Φ22 L≈450 (inf).,RESOLVED_METADATA,,,
LT2:400:13,LT2,2024_22-400-Model,400,,LT2-C'D'-VI-F'-base,TOP_BASE,2,16,350,C',D,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,SPECIAL,V.I.15/24 F' 2Φ16 L≈350 (sup).,RESOLVED_METADATA,,,
LT2:400:14,LT2,2024_22-400-Model,400,,LT2-C'D'-VI-F-base,BOTTOM_BASE,2,16,350,C',D,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,SPECIAL,V.I.15/24 F 2Φ16 L≈350 (inf).,RESOLVED_METADATA,,,
LT2:400:15,LT2,2024_22-400-Model,400,,,,,10,,,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,,,Familia ED Φ10@10 observada en el plano 400; extension/cantidad no legible -> NO se convierte a zona.,RESOLVED_METADATA,ED,10,
LT2:400:16,LT2,2024_22-400-Model,400,,,,,10,,,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,,,Familia ED Φ10@20 observada en el plano 400; extension/cantidad no legible -> NO se convierte a zona.,RESOLVED_METADATA,ED,20,
LT2:400:17,LT2,2024_22-400-Model,400,,,,,10,,,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,,,Familia ED Φ10@10 local (sectores puntuales del plano 400); extension no legible -> NO se convierte a zona.,RESOLVED_METADATA,ED,10,
