elementTag,building,bar_type,bar_count,diameter_mm,layer,status,source,resolution,geometry_pending,note
3001,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3002,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3003,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3004,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3005,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3006,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3007,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3008,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3009,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3010,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
